"id","hs_dip","ethnicity","age","gender","clubmemb","residency","oc","founda","visitlib","med","per","fin","ft_pt","attendance","week4_test","first_sem","attend_disc","first_sem_disc","week4_test_disc","age_disc","startweek","endweek","drops"
49,2,"2",37,"2",1,"1","no","no",0,0,0,0,"pt",0.890668565117608,0.491994854191591,0.940666256261207,"good","dist","fail","geny",1,156,0
50,4,"2",29,"2",2,"1","no","no",0,0,0,0,"pt",0.805153091638515,0.404308137352835,0.375417834644378,"good","fail","fail","millenn",1,156,0
51,1,"2",24,"2",0,"3","no","no",0,0,0,0,"ft",0.947630791495932,0.533837703601635,0.903261802158649,"good","dist","pass","millenn",1,156,0
52,5,"1",29,"2",0,"3","yes","yes",5,0,0,0,"ft",0.876385766944656,0.718170487126745,0.6901607452862,"good","pass","pass","millenn",1,156,0
53,3,"3",18,"2",0,"1","no","no",0,0,0,0,"ft",0.920012151704695,0.378391006491813,0.627452689687823,"good","pass","fail","genz",1,156,0
54,2,"4",28,"2",0,"1","no","no",4,0,0,0,"ft",0.923607336573372,0.806511127548935,0.912942837782203,"good","dist","dist","millenn",1,40,1
55,4,"3",23,"2",2,"2","yes","yes",0,0,0,0,"ft",0.871876921843425,0.6158987322024,0.63843603559436,"good","pass","pass","millenn",1,156,0
56,3,"5",19,"2",0,"3","yes","no",5,0,0,0,"ft",0.670098858916866,0.659769087368218,0.548598361643883,"ok","pass","pass","genz",1,156,0
57,4,"1",29,"1",2,"1","no","no",3,0,0,0,"ft",0.972361878129021,0.784779980749014,0.944266206943587,"good","dist","dist","millenn",1,156,0
58,2,"1",26,"2",2,"3","yes","no",4,0,0,0,"ft",0.92686284750139,0.593128809975983,0.871020175916967,"good","dist","pass","millenn",1,156,0
59,3,"1",23,"1",0,"1","no","no",1,0,0,0,"pt",0.880888102939948,0.544816129269272,0.475385050155058,"good","fail","pass","millenn",1,156,0
60,2,"1",26,"2",1,"1","no","no",9,0,1,0,"pt",0.613191973798759,0.870000231605765,0.548696831483974,"ok","pass","dist","millenn",1,156,0
61,4,"1",18,"2",2,"1","no","no",3,0,0,0,"ft",0.907136386288444,0.652919030091821,0.870374420306846,"good","dist","pass","genz",1,131,1
62,2,"3",22,"2",2,"1","yes","no",2,1,1,0,"pt",0.555593817975997,0.568312692564229,0.616530421260103,"ok","pass","pass","millenn",1,156,0
63,1,"3",32,"2",3,"3","no","no",7,0,0,0,"ft",0.926533967914425,0.819504197434007,0.692476730438119,"good","pass","dist","millenn",1,156,0
64,4,"1",26,"2",2,"1","no","yes",0,0,0,1,"ft",0.821934765067582,0.618776908734723,0.806249237706726,"good","dist","pass","millenn",1,156,0
65,1,"5",19,"1",0,"1","no","no",0,0,0,0,"ft",0.793716254367791,0.547364114238929,0.796839384621189,"good","dist","pass","genz",1,22,1
66,2,"1",22,"1",2,"3","no","no",5,0,0,0,"ft",0.941829512210643,0.722094244132143,0.848908803462707,"good","dist","pass","millenn",1,156,0
67,1,"1",29,"2",0,"1","no","no",3,0,0,0,"ft",0.968610275603934,0.624010003287649,0.655073949204619,"good","pass","pass","millenn",1,112,1
68,2,"1",20,"1",0,"2","yes","no",0,0,0,0,"ft",0.976304447809202,0.361553549709147,0.693871572551575,"good","pass","fail","genz",1,156,0
69,4,"4",24,"2",2,"1","no","no",0,0,0,0,"pt",0.34280821690242,0.430972302143204,0.190425595410073,"poor","fail","fail","millenn",1,40,1
70,1,"1",25,"2",2,"3","no","no",0,0,0,0,"ft",0.990976807927095,0.575522247910744,0.746636415558366,"good","pass","pass","millenn",1,156,0
71,4,"1",35,"1",0,"3","no","no",0,0,1,0,"ft",0.937185728395893,0.49621079190109,0.743450614490355,"good","pass","fail","geny",1,156,0
72,3,"1",22,"2",0,"3","yes","no",3,0,0,1,"ft",0.939224846530561,0.58292665605343,0.746738628262131,"good","pass","pass","millenn",1,156,0
73,3,"1",26,"1",1,"3","yes","no",0,0,0,1,"ft",0.505725311094419,0.470801388250215,0.555187887037171,"ok","pass","fail","millenn",1,40,1
74,3,"1",35,"1",2,"3","yes","no",0,0,0,4,"ft",0.944080868358975,0.39117337626735,0.287738261566812,"good","fail","fail","geny",1,82,1
75,2,"1",34,"1",2,"1","no","no",0,0,0,0,"ft",0.974120236941053,0.589408572644689,0.515993312847306,"good","pass","pass","millenn",1,156,0
76,4,"1",22,"1",0,"3","no","no",3,0,0,0,"ft",0.86379102870212,0.696522451032576,0.778878785447704,"good","dist","pass","millenn",1,13,1
77,1,"1",21,"2",0,"1","yes","no",9,0,0,0,"pt",0.720291776335951,0.825295832502021,0.678468748473419,"ok","pass","dist","millenn",1,153,1
78,4,"3",40,"2",2,"2","yes","no",1,0,0,0,"ft",0.837240083953263,0.435256029660515,0.550231831142245,"good","pass","fail","geny",1,156,0
79,3,"3",21,"2",1,"3","yes","no",2,0,0,0,"ft",0.97153952785353,0.606167707731111,0.194475285581174,"good","fail","pass","millenn",1,156,0
80,2,"1",34,"2",3,"1","no","no",6,0,0,0,"pt",0.839081466452893,0.684831624758874,0.845181094477692,"good","dist","pass","millenn",1,156,0
81,5,"2",26,"2",1,"3","no","no",3,0,0,0,"ft",0.991501315014592,0.700597652294094,0.597925864197088,"good","pass","pass","millenn",1,156,0
82,3,"1",34,"2",2,"1","no","no",7,0,0,0,"pt",0.876802865750665,0.833683474791239,0.914400403957341,"good","dist","dist","millenn",1,156,0
83,2,"1",28,"2",0,"3","yes","no",5,0,0,0,"ft",0.939655684527667,0.605524638804821,0.536082922865054,"good","pass","pass","millenn",1,156,0
84,2,"1",22,"2",2,"1","yes","no",0,0,0,0,"ft",0.980532499410524,0.517468640653933,0.848254953704282,"good","dist","pass","millenn",1,156,0
85,2,"3",25,"2",0,"1","no","no",1,1,0,0,"pt",0.470001021355902,0.419822118529806,0.247942260531677,"poor","fail","fail","millenn",1,156,0
86,3,"1",38,"1",0,"1","no","no",9,0,0,0,"pt",0.989093608078488,0.909060392676825,0.957659060616537,"good","dist","dist","geny",1,13,1
87,5,"3",26,"2",0,"1","no","no",2,0,0,0,"ft",0.818173349450392,0.622776858541749,0.518034065242732,"good","pass","pass","millenn",1,66,1
88,3,"1",19,"1",2,"3","yes","no",0,0,0,0,"ft",0.929103954518012,0.539956044008277,0.847079781037577,"good","dist","pass","genz",1,156,0
89,5,"1",24,"1",0,"1","no","no",0,0,2,0,"pt",0.0247938733419639,0.316873027081884,0.0747722744783271,"poor","fail","fail","millenn",1,34,1
90,2,"2",24,"2",2,"1","no","no",4,0,0,0,"pt",0.986008133449022,0.807286768494561,0.877948852050338,"good","dist","dist","millenn",1,156,0
91,1,"2",22,"2",0,"3","yes","no",5,0,0,0,"ft",0.736302668237179,0.622099631858507,0.765485686622889,"ok","dist","pass","millenn",1,26,1
92,5,"3",22,"1",2,"1","no","yes",0,0,0,0,"ft",0.988106447182009,0.602249484568809,0.717315880046244,"good","pass","pass","millenn",1,156,0
93,2,"1",25,"1",0,"3","yes","no",8,0,0,0,"ft",0.975057452256514,0.872604712911418,0.660003493599196,"good","pass","dist","millenn",1,79,1
94,4,"1",25,"1",2,"1","no","no",0,0,0,0,"pt",0.695382825569666,0.463945433326637,0.262697483285218,"ok","fail","fail","millenn",1,156,0
95,4,"2",22,"2",2,"3","yes","yes",4,0,0,0,"ft",0.85923581450498,0.760097648805606,0.760983115194697,"good","dist","dist","millenn",1,156,0
96,3,"3",26,"2",1,"1","no","no",6,0,0,0,"pt",0.903508807028568,0.7279332140332,0.591632982922615,"good","pass","pass","millenn",1,156,0
97,4,"2",37,"2",2,"1","no","no",8,0,0,0,"ft",0.87928775828257,0.857868227216127,0.578160086354504,"good","pass","dist","geny",1,156,0
98,4,"2",25,"4",2,"1","no","no",9,0,0,0,"pt",0.853384918132687,0.844350390663795,0.883563170038324,"good","dist","dist","millenn",1,156,0
99,2,"5",21,"2",3,"1","no","no",0,0,0,0,"pt",0.968982562752987,0.429769543153647,0.677294936345126,"good","pass","fail","millenn",1,156,0
100,3,"1",29,"2",0,"3","yes","no",5,0,0,0,"ft",0.947608640466426,0.593127155546372,0.952318554861551,"good","dist","pass","millenn",1,156,0
101,2,"1",21,"1",0,"1","no","no",0,0,0,0,"pt",0.911831868936349,0.487420681689507,0.866858741325387,"good","dist","fail","millenn",1,156,0
102,4,"1",23,"2",2,"1","no","no",1,0,0,0,"pt",0.487256848127514,0.418823160925779,0.921954029400771,"poor","dist","fail","millenn",1,156,0
103,1,"1",25,"1",0,"1","no","no",4,2,0,0,"ft",0.932796805242459,0.644444155226226,0.960234603630527,"good","dist","pass","millenn",1,156,0
104,4,"2",21,"2",2,"1","no","yes",6,0,0,0,"ft",0.879806573254249,0.82445306761226,0.651580308366179,"good","pass","dist","millenn",1,156,0
105,3,"2",39,"2",0,"1","no","no",5,0,0,0,"ft",0.946924731480679,0.67948959955965,0.434959384347345,"good","fail","pass","geny",1,146,1
106,1,"1",25,"1",2,"3","yes","no",3,0,0,0,"ft",0.847784633933663,0.638429580741367,0.67558641811554,"good","pass","pass","millenn",1,156,0
107,4,"1",23,"2",2,"3","yes","no",4,0,0,0,"ft",0.928361240676764,0.753096751161195,0.966559048172715,"good","dist","dist","millenn",1,6,1
108,5,"1",20,"1",1,"1","no","yes",3,0,0,0,"ft",0.69471495462771,0.626453864120066,0.88938504934825,"ok","dist","pass","genz",1,156,0
109,2,"1",24,"2",0,"1","no","no",0,0,0,0,"pt",0.992119081493054,0.429309277078678,0.49514195348569,"good","fail","fail","millenn",1,156,0
110,2,"3",21,"1",0,"1","yes","no",5,0,0,0,"pt",0.986014597829621,0.734436404169168,0.937865838603254,"good","dist","pass","millenn",1,156,0
111,4,"1",24,"1",0,"1","no","no",3,0,2,0,"ft",0.781099658568721,0.520364193843991,0.578898683073216,"good","pass","pass","millenn",1,156,0
112,3,"1",20,"2",0,"1","no","no",5,0,0,0,"pt",0.990047055584922,0.690399999901575,0.901813500864292,"good","dist","pass","genz",1,156,0
113,4,"1",25,"1",2,"1","no","no",1,0,0,0,"pt",0.970332258783519,0.37682018834377,0.449145901262269,"good","fail","fail","millenn",1,156,0
114,3,"1",29,"1",0,"1","no","no",4,0,0,0,"pt",0.905968477474314,0.73944405497219,0.504941044729322,"good","pass","pass","millenn",1,156,0
115,4,"4",30,"2",2,"1","yes","no",6,1,0,0,"ft",0.947694966762806,0.723738520574902,0.649123834966076,"good","pass","pass","millenn",1,93,1
116,1,"1",22,"1",2,"1","no","no",3,0,0,0,"ft",0.980343811896636,0.598806174621906,0.794774330303209,"good","dist","pass","millenn",1,156,0
117,1,"1",21,"1",2,"3","yes","no",0,0,0,0,"ft",0.995617302276749,0.491897032188565,0.872634859896535,"good","dist","fail","millenn",1,156,0
118,3,"1",29,"2",0,"1","no","no",0,0,0,0,"ft",0.96090661881169,0.347713159336576,0.358292046554942,"good","fail","fail","millenn",1,156,0
119,2,"1",18,"1",1,"3","no","no",0,0,0,0,"ft",0.875240921373706,0.498960033134684,0.848734722262075,"good","dist","fail","genz",1,93,1
120,3,"1",17,"2",1,"2","yes","no",0,0,0,0,"ft",0.966631962397911,0.490213533351867,0.704695126742238,"good","pass","fail","genz",1,156,0
121,3,"2",39,"2",3,"3","yes","no",0,0,0,0,"ft",0.932756744430833,0.482412081670134,0.182925474520798,"good","fail","fail","geny",1,156,0
122,3,"1",36,"2",0,"1","no","no",7,0,0,0,"ft",0.89652515641792,0.72922993098938,0.605714704971983,"good","pass","pass","geny",1,14,1
123,2,"2",25,"2",0,"3","yes","no",6,0,0,0,"ft",0.924834986236491,0.765540450471582,0.786185423370592,"good","dist","dist","millenn",1,156,0
124,4,"3",28,"2",0,"3","no","no",5,0,0,0,"ft",0.916293517911602,0.822499347125314,0.854500066506057,"good","dist","dist","millenn",1,156,0
125,4,"1",25,"1",3,"1","no","no",4,0,0,0,"ft",0.996003563538583,0.710265300348049,0.567621896542023,"good","pass","pass","millenn",1,156,0
126,5,"1",34,"2",3,"1","no","no",5,0,0,0,"pt",0.757271350969334,0.728170313323869,0.698798411932974,"good","pass","pass","millenn",1,156,0
127,1,"1",22,"2",0,"2","yes","no",1,0,0,2,"ft",0.971363738063548,0.41856960014093,0.682070466822011,"good","pass","fail","millenn",1,156,0
128,2,"5",25,"2",0,"3","no","no",0,0,0,0,"ft",0.870411043028233,0.448677357345767,0.725186179480111,"good","pass","fail","millenn",1,156,0
129,2,"1",28,"2",2,"1","yes","no",7,1,0,0,"ft",0.24169844396667,0.61694922113925,0.284009639381627,"poor","fail","pass","millenn",1,65,1
130,4,"2",16,"1",2,"3","yes","no",4,0,0,0,"ft",0.934933138731438,0.68933470375761,0.587570837427162,"good","pass","pass","genz",1,156,0
131,2,"1",24,"1",0,"3","yes","no",0,0,0,0,"ft",0.91696928783145,0.41164986238304,0.744940359245633,"good","pass","fail","millenn",1,156,0
132,4,"2",29,"2",0,"3","yes","no",4,0,0,0,"ft",0.921141177387981,0.704561062732553,0.856254982056636,"good","dist","pass","millenn",1,156,0
133,5,"1",23,"1",0,"1","yes","no",6,0,0,0,"pt",0.780560582713378,0.760076613147881,0.89643539246759,"good","dist","dist","millenn",1,156,0
134,4,"1",32,"1",3,"1","no","no",6,0,0,0,"ft",0.881690993640172,0.764630509983635,0.893419598669075,"good","dist","dist","millenn",1,156,0
135,1,"1",39,"2",1,"3","yes","no",8,0,0,0,"ft",0.966244303023599,0.793639537090054,0.641377242186262,"good","pass","dist","geny",1,156,0
136,5,"1",21,"2",0,"1","no","yes",0,0,2,0,"ft",0.0690894921682435,0.346113568438909,0.273424825258165,"poor","fail","fail","millenn",1,26,1
137,4,"1",24,"1",0,"1","no","no",6,0,0,0,"ft",0.75876596012816,0.738160584243749,0.242688386430455,"good","fail","pass","millenn",1,156,0
138,2,"1",21,"2",0,"1","no","no",0,0,0,0,"ft",0.870944307323289,0.434928178587214,0.542191503716966,"good","pass","fail","millenn",1,13,1
139,2,"1",28,"1",0,"1","yes","no",4,0,0,0,"ft",0.63715331293534,0.553202726918062,0.630904694915549,"ok","pass","pass","millenn",1,156,0
140,5,"1",33,"1",0,"3","yes","yes",4,0,0,0,"ft",0.705427193429755,0.654029875130262,0.830206819066391,"ok","dist","pass","millenn",1,156,0
141,3,"1",25,"2",2,"1","yes","no",4,0,0,0,"pt",0.942840281540359,0.55831844637778,0.577201876223073,"good","pass","pass","millenn",1,66,1
142,4,"1",17,"2",1,"1","no","no",5,0,2,0,"ft",0.969833195192224,0.65139589248858,0.443788462036817,"good","fail","pass","genz",1,19,1
143,2,"3",20,"2",3,"1","yes","no",0,0,0,0,"ft",0.935114460735606,0.454855199647792,0.26884272630797,"good","fail","fail","genz",1,66,1
144,4,"1",19,"2",0,"3","yes","no",1,0,0,0,"ft",0.965317249522183,0.510752867064167,0.217038811541344,"good","fail","pass","genz",1,156,0
145,2,"1",21,"2",0,"1","no","no",4,0,0,0,"pt",0.851268206414222,0.664817735901435,0.664818234437008,"good","pass","pass","millenn",1,156,0
146,1,"4",32,"2",0,"1","no","no",4,0,0,0,"pt",0.918352657035976,0.643789950126498,0.466371808393239,"good","fail","pass","millenn",1,156,0
147,1,"1",23,"2",0,"1","no","no",5,0,0,0,"pt",0.955780588667626,0.764689830535018,0.879285605882999,"good","dist","dist","millenn",1,156,0
148,3,"1",26,"2",0,"1","no","no",3,0,0,0,"ft",0.96565744111723,0.675083753786287,0.651402271015682,"good","pass","pass","millenn",1,70,1
149,1,"3",25,"2",0,"1","yes","no",4,0,0,0,"ft",0.957781338590062,0.706108808171045,0.704970027070837,"good","pass","pass","millenn",1,118,1
150,3,"3",28,"1",2,"3","yes","no",5,0,0,0,"ft",0.859944510629528,0.66209104474839,0.630443689790361,"good","pass","pass","millenn",1,156,0
151,5,"3",25,"1",0,"3","yes","no",5,0,0,0,"ft",0.980759012055002,0.782517045987437,0.626940630755038,"good","pass","dist","millenn",1,156,0
152,3,"1",22,"1",2,"2","no","no",0,0,0,0,"ft",0.940397326631234,0.605582684187721,0.707015808695421,"good","pass","pass","millenn",1,156,0
153,4,"1",28,"2",0,"2","no","no",0,0,0,0,"ft",0.938113131951332,0.485137055192209,0.343878292895776,"good","fail","fail","millenn",1,156,0
154,3,"1",23,"1",1,"3","no","no",4,0,0,0,"ft",0.95656695045699,0.678201187093309,0.744981533079885,"good","pass","pass","millenn",1,156,0
155,2,"1",17,"3",2,"1","no","no",4,0,0,0,"ft",0.706547383906375,0.660494870641887,0.105537713896933,"ok","fail","pass","genz",1,156,0
156,4,"1",24,"1",0,"1","no","no",5,0,0,0,"pt",0.970673202179017,0.806100678729538,0.908159580809143,"good","dist","dist","millenn",1,66,1
157,4,"1",22,"1",0,"3","yes","yes",0,0,0,0,"ft",0.757197315007596,0.419963142031721,0.379822655241048,"good","fail","fail","millenn",1,156,0
158,3,"1",38,"1",2,"3","no","no",0,0,0,0,"ft",0.905078634355536,0.497901079747139,0.871835802748824,"good","dist","fail","geny",1,156,0
159,5,"1",37,"1",2,"1","no","no",1,0,0,0,"pt",0.926597709841671,0.450367615688304,0.427395834756833,"good","fail","fail","geny",1,13,1
160,4,"3",22,"2",0,"3","yes","no",0,0,0,0,"ft",0.988963745520303,0.429152827801348,0.362274038693684,"good","fail","fail","millenn",1,156,0
161,4,"3",34,"3",2,"1","no","no",5,0,0,0,"pt",0.797682150480666,0.788734007099819,0.829845279102618,"good","dist","dist","millenn",1,156,0
162,3,"2",30,"2",1,"3","yes","no",0,0,0,0,"ft",0.997673860208219,0.426166206530047,0.634676615333654,"good","pass","fail","millenn",1,156,0
163,5,"3",21,"4",2,"2","yes","no",7,0,0,0,"ft",0.973833385943613,0.784709151417349,0.668178666971896,"good","pass","dist","millenn",1,156,0
164,5,"3",22,"1",0,"3","yes","no",0,0,0,0,"ft",0.995170145023362,0.526377837335928,0.689165732179151,"good","pass","pass","millenn",1,13,1
165,3,"1",23,"1",3,"1","no","no",8,0,0,0,"ft",0.779083791601559,0.774322110869699,0.660875644869958,"good","pass","dist","millenn",1,156,0
166,3,"1",42,"1",0,"1","no","no",4,0,0,0,"ft",0.836640006309602,0.703693408958219,0.247396814473761,"good","fail","pass","geny",1,156,0
167,1,"1",25,"2",1,"1","no","no",4,0,0,0,"ft",0.957370323579938,0.543736920815048,0.80687240938897,"good","dist","pass","millenn",1,156,0
168,2,"1",21,"1",0,"1","no","no",1,0,0,0,"pt",0.717971660317114,0.45115550377017,0.364798111733926,"ok","fail","fail","millenn",1,118,1
169,5,"1",24,"1",0,"1","no","yes",0,1,0,0,"pt",0.957257523970062,0.519537225432567,0.729698947729947,"good","pass","pass","millenn",1,156,0
170,3,"1",24,"2",3,"1","yes","no",7,0,0,0,"ft",0.993112997755653,0.77987867963304,0.939167014089212,"good","dist","dist","millenn",1,156,0
171,1,"1",23,"1",3,"3","yes","no",5,0,0,0,"ft",0.984144946126324,0.626947496145716,0.835737177347248,"good","dist","pass","millenn",1,156,0
172,2,"1",23,"2",2,"1","no","no",0,0,0,0,"pt",0.83250202108984,0.510410971372052,0.489255789332551,"good","fail","pass","millenn",1,156,0
173,4,"2",27,"2",2,"1","no","no",2,0,0,0,"ft",0.929076420066708,0.551065598309753,0.151272225692967,"good","fail","pass","millenn",1,156,0
174,3,"1",32,"1",0,"3","yes","no",1,0,0,0,"ft",0.945699943049025,0.603825628065488,0.827971085167333,"good","dist","pass","millenn",1,156,0
175,3,"1",19,"2",2,"1","no","no",8,0,0,0,"ft",0.949771872196425,0.848654465663861,0.800881556621985,"good","dist","dist","genz",1,13,1
176,4,"1",22,"2",0,"3","yes","no",5,0,0,0,"ft",0.842156955849303,0.759447070965672,0.489262755285642,"good","fail","dist","millenn",1,156,0
177,4,"3",31,"1",0,"3","no","yes",4,0,0,0,"ft",0.889002895477961,0.672988038765297,0.888116436236133,"good","dist","pass","millenn",1,156,0
178,1,"1",23,"1",0,"1","no","no",1,0,0,0,"ft",0.858134112650059,0.616118717569234,0.62782124991669,"good","pass","pass","millenn",1,156,0
179,4,"1",20,"1",2,"1","no","no",2,0,0,0,"ft",0.840499676092889,0.58338211741723,0.70230480460203,"good","pass","pass","genz",1,156,0
180,5,"1",20,"1",3,"1","yes","no",0,0,0,0,"ft",0.892442107118569,0.501903694851246,0.736724090225346,"good","pass","pass","genz",1,40,1
